MOR,MAR,19634,34,8348,10212,2,1,2016-05-15 00:00:00,2015/2016,2.1,3.5,3.25
BEN,NAC,19638,34,9772,10214,4,1,2016-05-15 00:00:00,2015/2016,1.1,9,21
BRA,SCP,19639,34,10264,9768,0,4,2016-05-15 00:00:00,2015/2016,6.25,4.33,1.5
TON,ACA,19631,34,188163,10215,2,0,2016-05-14 00:00:00,2015/2016,1.6,4.1,5.5
POR,BOA,19632,34,9773,8613,4,0,2016-05-14 00:00:00,2015/2016,1.29,5.5,11
SET,FER,19633,34,10238,6403,0,0,2016-05-14 00:00:00,2015/2016,2.45,3.2,3
MAD,RA,19635,34,6367,7841,1,2,2016-05-14 00:00:00,2015/2016,2.5,3.3,2.88
ARO,GUI,19636,34,158085,7844,2,2,2016-05-14 00:00:00,2015/2016,2.4,3.5,2.88
BEL,EST,19637,34,9807,7842,2,1,2016-05-14 00:00:00,2015/2016,3,3.5,2.2
EST,ARO,19622,33,7842,158085,1,1,2016-05-09 00:00:00,2015/2016,2.25,3.3,3.25
NAC,BEL,19623,33,10214,9807,2,2,2016-05-08 00:00:00,2015/2016,2.1,3.6,3.4
MAR,BEN,19624,33,10212,9772,0,2,2016-05-08 00:00:00,2015/2016,9,5.25,1.33
BOA,MAD,19628,33,8613,6367,1,0,2016-05-08 00:00:00,2015/2016,2.25,3.13,3.5
GUI,MOR,19630,33,7844,8348,4,1,2016-05-08 00:00:00,2015/2016,1.95,3.5,4
RA,POR,19625,33,7841,9773,1,3,2016-05-07 00:00:00,2015/2016,4.4,3.6,1.83
SCP,SET,19626,33,9768,10238,5,0,2016-05-07 00:00:00,2015/2016,1.07,11.5,31
ACA,BRA,19627,33,10215,10264,0,0,2016-05-07 00:00:00,2015/2016,3.7,3.6,2
FER,TON,19629,33,6403,188163,1,4,2016-05-06 00:00:00,2015/2016,1.67,3.9,5.2
MAD,ACA,19613,32,6367,10215,3,1,2016-05-01 00:00:00,2015/2016,2.55,3.3,2.8
MOR,BOA,19614,32,8348,8613,1,1,2016-05-01 00:00:00,2015/2016,2.7,3.1,2.8
ARO,NAC,19616,32,158085,10214,3,0,2016-05-01 00:00:00,2015/2016,1.9,3.5,4.2
EST,MAR,19620,32,7842,10212,2,1,2016-05-01 00:00:00,2015/2016,2.05,3.4,3.75
TON,RA,19615,32,188163,7841,1,1,2016-04-30 00:00:00,2015/2016,3,3.3,2.4
BEL,FER,19617,32,9807,6403,0,2,2016-04-30 00:00:00,2015/2016,2.55,3.4,2.75
POR,SCP,19621,32,9773,9768,1,3,2016-04-30 00:00:00,2015/2016,3.1,3.25,2.38
BEN,GUI,19618,32,9772,7844,1,0,2016-04-29 00:00:00,2015/2016,1.13,8.5,21
BRA,SET,19619,32,10264,10238,3,2,2016-04-29 00:00:00,2015/2016,1.45,4.33,7.5
MAR,ARO,19604,31,10212,158085,1,2,2016-04-24 00:00:00,2015/2016,2.3,3.3,3.2
RA,BEN,19606,31,7841,9772,0,1,2016-04-24 00:00:00,2015/2016,8,4.75,1.4
GUI,EST,19608,31,7844,7842,1,1,2016-04-24 00:00:00,2015/2016,2.38,3.3,3.1
NAC,MOR,19609,31,10214,8348,0,1,2016-04-24 00:00:00,2015/2016,2,3.4,3.9
SET,TON,19611,31,10238,188163,0,1,2016-04-24 00:00:00,2015/2016,2.1,3.4,3.6
FER,BRA,19607,31,6403,10264,1,0,2016-04-23 00:00:00,2015/2016,4,3.5,1.95
ACA,POR,19610,31,10215,9773,1,2,2016-04-23 00:00:00,2015/2016,8.5,4.75,1.4
SCP,MAD,19612,31,9768,6367,2,0,2016-04-23 00:00:00,2015/2016,1.08,11,29
BOA,BEL,19605,31,8613,9807,1,0,2016-04-22 00:00:00,2015/2016,2,3.3,4.1
BEN,SET,19601,30,9772,10238,2,1,2016-04-18 00:00:00,2015/2016,1.08,10.5,29
BRA,TON,19602,30,10264,188163,3,0,2016-04-18 00:00:00,2015/2016,1.36,5,8.5
BEL,ACA,19595,30,9807,10215,1,1,2016-04-17 00:00:00,2015/2016,2.15,3.4,3.4
MAD,FER,19597,30,6367,6403,3,4,2016-04-17 00:00:00,2015/2016,2.63,3.2,2.8
MAR,GUI,19598,30,10212,7844,3,0,2016-04-17 00:00:00,2015/2016,2.3,3.4,3.1
POR,NAC,19599,30,9773,10214,4,0,2016-04-17 00:00:00,2015/2016,1.25,6,12
EST,BOA,19596,30,7842,8613,1,0,2016-04-16 00:00:00,2015/2016,2.25,3.1,3.5
ARO,RA,19600,30,158085,7841,0,0,2016-04-16 00:00:00,2015/2016,2.7,3.25,2.7
MOR,SCP,19603,30,8348,9768,0,1,2016-04-16 00:00:00,2015/2016,13,5.75,1.25
RA,GUI,19580,29,7841,7844,2,0,2016-04-11 00:00:00,2015/2016,2.05,3.4,3.75
SET,BEL,19578,29,10238,9807,0,1,2016-04-10 00:00:00,2015/2016,2.38,3.4,3
NAC,EST,19579,29,10214,7842,4,1,2016-04-10 00:00:00,2015/2016,2.25,3.3,3.3
BRA,MOR,19583,29,10264,8348,1,1,2016-04-10 00:00:00,2015/2016,1.44,4.5,7.5
FER,POR,19584,29,6403,9773,1,0,2016-04-10 00:00:00,2015/2016,9,4.75,1.36
TON,MAD,19585,29,188163,6367,1,0,2016-04-10 00:00:00,2015/2016,2.3,3.25,3.3
SCP,MAR,19581,29,9768,10212,3,1,2016-04-09 00:00:00,2015/2016,1.18,7,15
ACA,BEN,19582,29,10215,9772,1,2,2016-04-09 00:00:00,2015/2016,11,5.25,1.3
BOA,ARO,19577,29,8613,158085,0,0,2016-04-08 00:00:00,2015/2016,2.4,3.1,3.25
BEL,SCP,19571,28,9807,9768,2,5,2016-04-04 00:00:00,2015/2016,9.5,4.8,1.36
POR,TON,19576,28,9773,188163,0,1,2016-04-04 00:00:00,2015/2016,1.07,11.5,34
MAD,SET,19570,28,6367,10238,2,2,2016-04-03 00:00:00,2015/2016,2.3,3.2,3.3
EST,FER,19573,28,7842,6403,1,0,2016-04-03 00:00:00,2015/2016,2.15,3.3,3.5
MOR,RA,19575,28,8348,7841,0,1,2016-04-03 00:00:00,2015/2016,2.88,3.3,2.5
ARO,ACA,19568,28,158085,10215,3,2,2016-04-02 00:00:00,2015/2016,2.05,3.3,3.9
GUI,BOA,19569,28,7844,8613,1,1,2016-04-02 00:00:00,2015/2016,2,3.25,4.1
MAR,NAC,19574,28,10212,10214,2,0,2016-04-02 00:00:00,2015/2016,2.3,3.4,3.1
BEN,BRA,19572,28,9772,10264,5,1,2016-04-01 00:00:00,2015/2016,1.55,4,6.25
TON,BEL,19560,27,188163,9807,2,2,2016-03-20 00:00:00,2015/2016,3,3.3,2.4
BOA,BEN,19561,27,8613,9772,0,1,2016-03-20 00:00:00,2015/2016,13,5.4,1.29
NAC,GUI,19562,27,10214,7844,3,2,2016-03-20 00:00:00,2015/2016,2.3,3.3,3.25
ACA,EST,19565,27,10215,7842,0,3,2016-03-20 00:00:00,2015/2016,2.5,3.2,3
BRA,MAD,19566,27,10264,6367,2,0,2016-03-20 00:00:00,2015/2016,1.33,5,10
FER,MOR,19567,27,6403,8348,0,0,2016-03-20 00:00:00,2015/2016,1.95,3.4,4.1
SCP,ARO,19559,27,9768,158085,5,1,2016-03-19 00:00:00,2015/2016,1.2,6.25,18
SET,POR,19564,27,10238,9773,0,1,2016-03-19 00:00:00,2015/2016,11,5.5,1.29
RA,MAR,19563,27,7841,10212,1,0,2016-03-18 00:00:00,2015/2016,1.83,3.6,4.4
BEN,TON,19555,26,9772,188163,4,1,2016-03-14 00:00:00,2015/2016,1.1,10,26
MOR,ACA,19550,26,8348,10215,2,2,2016-03-13 00:00:00,2015/2016,2.2,3.3,3.4
GUI,FER,19552,26,7844,6403,0,1,2016-03-13 00:00:00,2015/2016,2,3.4,3.8
ARO,SET,19553,26,158085,10238,1,0,2016-03-13 00:00:00,2015/2016,1.95,3.4,4.1
BEL,BRA,19554,26,9807,10264,3,0,2016-03-13 00:00:00,2015/2016,3.6,3.4,2.1
NAC,RA,19557,26,10214,7841,1,0,2016-03-13 00:00:00,2015/2016,2.3,3.3,3.2
EST,SCP,19556,26,7842,9768,1,2,2016-03-12 00:00:00,2015/2016,8,4.4,1.44
POR,MAD,19558,26,9773,6367,3,2,2016-03-12 00:00:00,2015/2016,1.12,8.5,22
MAR,BOA,19551,26,10212,8613,0,3,2016-03-11 00:00:00,2015/2016,1.95,3.25,4.33
RA,EST,19544,25,7841,7842,1,3,2016-03-07 00:00:00,2015/2016,2,3.3,4
TON,ARO,19541,25,188163,158085,0,1,2016-03-06 00:00:00,2015/2016,3,3.2,2.45
MAD,BEL,19542,25,6367,9807,0,0,2016-03-06 00:00:00,2015/2016,2.8,3.2,2.63
SET,MOR,19545,25,10238,8348,0,1,2016-03-06 00:00:00,2015/2016,2.3,3.4,3.13
ACA,GUI,19546,25,10215,7844,2,0,2016-03-06 00:00:00,2015/2016,3,3.3,2.4
BOA,NAC,19547,25,8613,10214,0,1,2016-03-06 00:00:00,2015/2016,2.63,3.1,2.88
BRA,POR,19548,25,10264,9773,3,1,2016-03-06 00:00:00,2015/2016,4.2,3.5,1.9
SCP,BEN,19543,25,9768,9772,0,1,2016-03-05 00:00:00,2015/2016,2.4,3.25,3.1
FER,MAR,19549,25,6403,10212,2,2,2016-03-04 00:00:00,2015/2016,2.55,3.3,2.8
BEN,MAD,19536,24,9772,6367,2,0,2016-02-29 00:00:00,2015/2016,1.1,9,31
GUI,SCP,19539,24,7844,9768,0,0,2016-02-29 00:00:00,2015/2016,6.25,4,1.57
MAR,ACA,19532,24,10212,10215,1,0,2016-02-28 00:00:00,2015/2016,1.87,3.5,4.4
BEL,POR,19535,24,9807,9773,1,2,2016-02-28 00:00:00,2015/2016,10.5,5,1.33
MOR,TON,19540,24,8348,188163,1,2,2016-02-28 00:00:00,2015/2016,1.85,3.6,4.3
ARO,BRA,19534,24,158085,10264,0,0,2016-02-27 00:00:00,2015/2016,3.9,3.25,2.05
BOA,RA,19537,24,8613,7841,1,2,2016-02-27 00:00:00,2015/2016,2.8,3.1,2.7
EST,SET,19538,24,7842,10238,3,0,2016-02-27 00:00:00,2015/2016,2.1,3.3,3.7
NAC,FER,19533,24,10214,6403,3,0,2016-02-26 00:00:00,2015/2016,2.15,3.3,3.6
SCP,BOA,19525,23,9768,8613,2,0,2016-02-22 00:00:00,2015/2016,1.2,6.25,17
BEL,ARO,19523,23,9807,158085,0,2,2016-02-21 00:00:00,2015/2016,2.3,3.2,3.3
TON,MAR,19527,23,188163,10212,3,4,2016-02-21 00:00:00,2015/2016,2.9,3.25,2.5
POR,MOR,19528,23,9773,8348,3,2,2016-02-21 00:00:00,2015/2016,1.17,7,21
SET,NAC,19529,23,10238,10214,1,1,2016-02-21 00:00:00,2015/2016,2.8,3.3,2.55
BRA,GUI,19531,23,10264,7844,3,3,2016-02-21 00:00:00,2015/2016,1.57,4,6
FER,BEN,19524,23,6403,9772,1,3,2016-02-20 00:00:00,2015/2016,10,5,1.33
ACA,RA,19530,23,10215,7841,0,2,2016-02-20 00:00:00,2015/2016,2.8,3.2,2.63
MAD,EST,19526,23,6367,7842,1,1,2016-02-19 00:00:00,2015/2016,2.7,3.1,2.8
RA,FER,19517,22,7841,6403,1,1,2016-02-15 00:00:00,2015/2016,1.95,3.4,4.1
BOA,ACA,19514,22,8613,10215,0,0,2016-02-14 00:00:00,2015/2016,2,3.25,4.1
MAR,BRA,19516,22,10212,10264,1,3,2016-02-14 00:00:00,2015/2016,4.33,3.6,1.85
ARO,MAD,19518,22,158085,6367,3,0,2016-02-14 00:00:00,2015/2016,1.8,3.5,4.8
EST,TON,19520,22,7842,188163,2,1,2016-02-14 00:00:00,2015/2016,1.8,3.5,4.8
MOR,BEL,19515,22,8348,9807,2,3,2016-02-13 00:00:00,2015/2016,2.38,3.2,3.13
GUI,SET,19521,22,7844,10238,2,2,2016-02-13 00:00:00,2015/2016,1.8,3.6,4.6
NAC,SCP,19522,22,10214,9768,0,4,2016-02-13 00:00:00,2015/2016,7,4.5,1.45
BEN,POR,19519,22,9772,9773,1,2,2016-02-12 00:00:00,2015/2016,2.25,3.25,3.4
SCP,RA,19510,21,9768,7841,0,0,2016-02-08 00:00:00,2015/2016,1.22,6.25,13
BRA,EST,19513,21,10264,7842,2,0,2016-02-08 00:00:00,2015/2016,1.5,4.3,7
POR,ARO,19505,21,9773,158085,1,2,2016-02-07 00:00:00,2015/2016,1.15,7.5,19
FER,BOA,19506,21,6403,8613,0,1,2016-02-07 00:00:00,2015/2016,2,3.25,4.2
MAD,MOR,19509,21,6367,8348,0,1,2016-02-07 00:00:00,2015/2016,2.4,3.2,3.13
ACA,NAC,19511,21,10215,10214,2,2,2016-02-07 00:00:00,2015/2016,2.8,3.2,2.6
TON,GUI,19507,21,188163,7844,1,1,2016-02-06 00:00:00,2015/2016,3.6,3.4,2.1
SET,MAR,19508,21,10238,10212,1,1,2016-02-06 00:00:00,2015/2016,2.8,3.1,2.7
BEL,BEN,19512,21,9807,9772,0,5,2016-02-05 00:00:00,2015/2016,9,5.25,1.33
MAR,BEL,19497,20,10212,9807,1,2,2016-02-01 00:00:00,2015/2016,1.93,3.4,4.2
MOR,BEN,19498,20,8348,9772,1,4,2016-01-31 00:00:00,2015/2016,11,5.25,1.3
ARO,FER,19499,20,158085,6403,2,2,2016-01-31 00:00:00,2015/2016,2.63,3.2,2.8
BOA,BRA,19500,20,8613,10264,0,0,2016-01-31 00:00:00,2015/2016,6,3.75,1.62
NAC,TON,19503,20,10214,188163,3,1,2016-01-31 00:00:00,2015/2016,1.65,3.9,5.4
RA,SET,19504,20,7841,10238,2,1,2016-01-31 00:00:00,2015/2016,1.85,3.6,4.3
SCP,ACA,19496,20,9768,10215,3,2,2016-01-30 00:00:00,2015/2016,1.14,8,20
EST,POR,19501,20,7842,9773,1,3,2016-01-30 00:00:00,2015/2016,9,4.5,1.4
GUI,MAD,19502,20,7844,6367,3,1,2016-01-29 00:00:00,2015/2016,1.65,3.75,5.75
TON,BOA,19480,19,188163,8613,1,2,2016-01-25 00:00:00,2015/2016,2.6,3,3
POR,MAR,19482,19,9773,10212,1,0,2016-01-24 00:00:00,2015/2016,1.18,7,17
BEL,GUI,19484,19,9807,7844,3,3,2016-01-24 00:00:00,2015/2016,2.6,3.2,2.8
BRA,RA,19485,19,10264,7841,5,1,2016-01-24 00:00:00,2015/2016,1.57,4,6
BEN,ARO,19479,19,9772,158085,3,1,2016-01-23 00:00:00,2015/2016,1.2,6.5,15
MOR,EST,19481,19,8348,7842,1,3,2016-01-23 00:00:00,2015/2016,2.45,3.1,3.1
MAD,NAC,19483,19,6367,10214,3,0,2016-01-23 00:00:00,2015/2016,3,3.13,2.5
FER,SCP,19486,19,6403,9768,1,3,2016-01-23 00:00:00,2015/2016,7,4.2,1.5
SET,ACA,19478,19,10238,10215,2,1,2016-01-22 00:00:00,2015/2016,2.3,3.25,3.2
BOA,SET,19474,18,8613,10238,4,0,2016-01-18 00:00:00,2015/2016,2.55,3.1,3
RA,BEL,19469,18,7841,9807,1,2,2016-01-17 00:00:00,2015/2016,1.85,3.5,4.5
NAC,BRA,19471,18,10214,10264,2,3,2016-01-17 00:00:00,2015/2016,4.1,3.4,1.95
ARO,MOR,19473,18,158085,8348,1,2,2016-01-17 00:00:00,2015/2016,2.15,3.25,3.6
GUI,POR,19475,18,7844,9773,1,0,2016-01-17 00:00:00,2015/2016,8.5,4.6,1.4
EST,BEN,19470,18,7842,9772,1,2,2016-01-16 00:00:00,2015/2016,7,4.2,1.5
ACA,FER,19472,18,10215,6403,1,1,2016-01-16 00:00:00,2015/2016,3.13,3.2,2.4
MAR,MAD,19476,18,10212,6367,0,1,2016-01-16 00:00:00,2015/2016,1.67,3.8,5.4
SCP,TON,19477,18,9768,188163,2,2,2016-01-15 00:00:00,2015/2016,1.08,11,29
FER,SET,19462,17,6403,10238,2,1,2016-01-11 00:00:00,2015/2016,1.85,3.4,4.6
NAC,BEN,19467,17,10214,9772,1,4,2016-01-11 00:00:00,2015/2016,5.75,3.9,1.62
ACA,TON,19460,17,10215,188163,2,1,2016-01-10 00:00:00,2015/2016,2,3.2,4.2
BOA,POR,19461,17,8613,9773,0,5,2016-01-10 00:00:00,2015/2016,15,5.25,1.25
MAR,MOR,19463,17,10212,8348,5,1,2016-01-10 00:00:00,2015/2016,2,3.3,4
RA,MAD,19464,17,7841,6367,1,0,2016-01-10 00:00:00,2015/2016,1.75,3.5,5.2
EST,BEL,19466,17,7842,9807,2,0,2016-01-10 00:00:00,2015/2016,2.05,3.2,4
SCP,BRA,19468,17,9768,10264,3,2,2016-01-10 00:00:00,2015/2016,1.53,4.1,6.5
GUI,ARO,19465,17,7844,158085,2,2,2016-01-09 00:00:00,2015/2016,2,3.3,4
ARO,EST,19451,16,158085,7842,1,0,2016-01-06 00:00:00,2015/2016,2.38,3.1,3.25
BEL,NAC,19452,16,9807,10214,2,2,2016-01-06 00:00:00,2015/2016,2.45,3.13,3.1
BEN,MAR,19453,16,9772,10212,6,0,2016-01-06 00:00:00,2015/2016,1.33,5.2,10
POR,RA,19454,16,9773,7841,1,1,2016-01-06 00:00:00,2015/2016,1.2,6.5,15
SET,SCP,19455,16,10238,9768,0,6,2016-01-06 00:00:00,2015/2016,7.5,4.5,1.45
BRA,ACA,19456,16,10264,10215,3,0,2016-01-06 00:00:00,2015/2016,1.29,5.2,12
MAD,BOA,19457,16,6367,8613,1,0,2016-01-06 00:00:00,2015/2016,2.25,3,3.7
TON,FER,19458,16,188163,6403,0,2,2016-01-06 00:00:00,2015/2016,3.6,3.25,2.15
MOR,GUI,19459,16,8348,7844,3,4,2016-01-06 00:00:00,2015/2016,2.7,3,2.88
RA,TON,19444,15,7841,188163,2,3,2016-01-03 00:00:00,2015/2016,1.62,3.8,6.25
ACA,MAD,19442,15,10215,6367,3,1,2016-01-02 00:00:00,2015/2016,2.4,3.1,3.3
BOA,MOR,19443,15,8613,8348,0,3,2016-01-02 00:00:00,2015/2016,2.6,3,3.1
NAC,ARO,19445,15,10214,158085,2,2,2016-01-02 00:00:00,2015/2016,2.1,3.2,4
FER,BEL,19446,15,6403,9807,2,2,2016-01-02 00:00:00,2015/2016,1.87,3.5,4.6
GUI,BEN,19447,15,7844,9772,0,1,2016-01-02 00:00:00,2015/2016,7,4,1.55
SET,BRA,19448,15,10238,10264,1,1,2016-01-02 00:00:00,2015/2016,4.6,3.5,1.87
MAR,EST,19449,15,10212,7842,1,1,2016-01-02 00:00:00,2015/2016,1.95,3.4,4.2
SCP,POR,19450,15,9768,9773,2,0,2016-01-02 00:00:00,2015/2016,2.55,3.2,3
BEL,BOA,19434,14,9807,8613,1,0,2015-12-21 00:00:00,2015/2016,2.3,3.1,3.5
BRA,FER,19436,14,10264,6403,1,1,2015-12-21 00:00:00,2015/2016,1.62,3.8,6
BEN,RA,19435,14,9772,7841,3,1,2015-12-20 00:00:00,2015/2016,1.29,5.5,12
MOR,NAC,19438,14,8348,10214,2,0,2015-12-20 00:00:00,2015/2016,2.55,3.2,3
POR,ACA,19439,14,9773,10215,3,1,2015-12-20 00:00:00,2015/2016,1.14,8,26
TON,SET,19440,14,188163,10238,1,3,2015-12-20 00:00:00,2015/2016,2.9,3.2,2.63
MAD,SCP,19441,14,6367,9768,1,0,2015-12-20 00:00:00,2015/2016,11,5,1.33
ARO,MAR,19433,14,158085,10212,4,1,2015-12-19 00:00:00,2015/2016,2.7,3.2,2.8
EST,GUI,19437,14,7842,7844,0,1,2015-12-19 00:00:00,2015/2016,2.3,3.25,3.4
MAD,BEN,19671,7,6367,9772,0,0,2015-12-15 00:00:00,2015/2016,10,5,1.33
ACA,BEL,19424,13,10215,9807,4,3,2015-12-14 00:00:00,2015/2016,2.5,3.1,3.2
NAC,POR,19428,13,10214,9773,1,2,2015-12-14 00:00:00,2015/2016,8,4.5,1.44
TON,BRA,19431,13,188163,10264,0,1,2015-12-13 00:00:00,2015/2016,7.5,4,1.53
SCP,MOR,19432,13,9768,8348,3,1,2015-12-13 00:00:00,2015/2016,1.17,7.5,20
FER,MAD,19426,13,6403,6367,6,0,2015-12-12 00:00:00,2015/2016,1.8,3.4,5.2
GUI,MAR,19427,13,7844,10212,3,4,2015-12-12 00:00:00,2015/2016,2.3,3.25,3.3
RA,ARO,19429,13,7841,158085,3,1,2015-12-12 00:00:00,2015/2016,2,3.3,4.2
SET,BEN,19430,13,10238,9772,2,4,2015-12-12 00:00:00,2015/2016,7.5,4.2,1.5
BOA,EST,19425,13,8613,7842,1,1,2015-12-11 00:00:00,2015/2016,2.6,3,3.13
GUI,RA,19418,12,7844,7841,3,1,2015-12-07 00:00:00,2015/2016,2.25,3.2,3.5
ARO,BOA,19415,12,158085,8613,3,2,2015-12-06 00:00:00,2015/2016,2.25,3,3.8
EST,NAC,19417,12,7842,10214,1,1,2015-12-06 00:00:00,2015/2016,2.3,3.2,3.4
MOR,BRA,19421,12,8348,10264,0,0,2015-12-06 00:00:00,2015/2016,6.25,3.6,1.67
MAD,TON,19423,12,6367,188163,2,0,2015-12-06 00:00:00,2015/2016,2.15,3.2,3.8
BEL,SET,19416,12,9807,10238,0,3,2015-12-05 00:00:00,2015/2016,2.25,3.25,3.5
MAR,SCP,19419,12,10212,9768,0,1,2015-12-05 00:00:00,2015/2016,6.5,4.2,1.55
POR,FER,19422,12,9773,6403,2,1,2015-12-05 00:00:00,2015/2016,1.2,7,15
BEN,ACA,19420,12,9772,10215,3,0,2015-12-04 00:00:00,2015/2016,1.18,7,20
MAD,POR,19693,9,6367,9773,0,4,2015-12-02 00:00:00,2015/2016,11.5,5.2,1.3
SCP,BEL,19409,11,9768,9807,1,0,2015-11-30 00:00:00,2015/2016,1.17,7.5,21
BRA,BEN,19410,11,10264,9772,0,2,2015-11-30 00:00:00,2015/2016,3,3.3,2.5
ACA,ARO,19406,11,10215,158085,1,1,2015-11-29 00:00:00,2015/2016,2.63,3,3.1
FER,EST,19411,11,6403,7842,2,0,2015-11-29 00:00:00,2015/2016,2.15,3.2,3.8
RA,MOR,19413,11,7841,8348,0,1,2015-11-29 00:00:00,2015/2016,1.9,3.3,4.8
BOA,GUI,19407,11,8613,7844,1,2,2015-11-28 00:00:00,2015/2016,2.63,3,3.1
SET,MAD,19408,11,10238,6367,2,2,2015-11-28 00:00:00,2015/2016,1.93,3.3,4.6
TON,POR,19414,11,188163,9773,0,1,2015-11-28 00:00:00,2015/2016,23,7,1.17
NAC,MAR,19412,11,10214,10212,3,1,2015-11-27 00:00:00,2015/2016,2.55,3.25,2.9
BEL,TON,19398,10,9807,188163,2,1,2015-11-09 00:00:00,2015/2016,1.83,3.4,4.8
MAD,BRA,19404,10,6367,10264,0,1,2015-11-09 00:00:00,2015/2016,4.4,3.4,1.87
ARO,SCP,19397,10,158085,9768,0,1,2015-11-08 00:00:00,2015/2016,9,4.75,1.36
BEN,BOA,19399,10,9772,8613,2,0,2015-11-08 00:00:00,2015/2016,1.15,7.5,20
MAR,RA,19401,10,10212,7841,3,2,2015-11-08 00:00:00,2015/2016,2.1,3.3,3.7
POR,SET,19402,10,9773,10238,2,0,2015-11-08 00:00:00,2015/2016,,,
MOR,FER,19405,10,8348,6403,2,0,2015-11-08 00:00:00,2015/2016,2.7,3.1,2.8
GUI,NAC,19400,10,7844,10214,0,1,2015-11-07 00:00:00,2015/2016,2.15,3.25,3.6
EST,ACA,19403,10,7842,10215,1,1,2015-11-06 00:00:00,2015/2016,1.75,3.5,5.2
FER,GUI,19687,9,6403,7844,0,1,2015-11-02 00:00:00,2015/2016,2.1,3.25,3.7
ACA,MOR,19685,9,10215,8348,1,1,2015-11-01 00:00:00,2015/2016,2.4,3,3.3
BOA,MAR,19686,9,8613,10212,0,1,2015-11-01 00:00:00,2015/2016,2.8,3,2.8
SET,ARO,19688,9,10238,158085,0,0,2015-11-01 00:00:00,2015/2016,2.15,3.2,3.6
RA,NAC,19692,9,7841,10214,1,0,2015-11-01 00:00:00,2015/2016,2.3,3.25,3.25
BRA,BEL,19689,9,10264,9807,4,0,2015-10-31 00:00:00,2015/2016,1.5,4.1,7.5
SCP,EST,19691,9,9768,7842,1,0,2015-10-31 00:00:00,2015/2016,1.22,6,15
TON,BEN,19690,9,188163,9772,0,4,2015-10-30 00:00:00,2015/2016,15,6,1.22
BEL,MAD,19677,8,9807,6367,1,0,2015-10-26 00:00:00,2015/2016,1.9,3.3,4.8
ARO,TON,19676,8,158085,188163,1,1,2015-10-25 00:00:00,2015/2016,1.83,3.3,5.2
BEN,SCP,19678,8,9772,9768,0,3,2015-10-25 00:00:00,2015/2016,2.2,3.3,3.6
MOR,SET,19680,8,8348,10238,0,2,2015-10-25 00:00:00,2015/2016,2.38,3.2,3.3
POR,BRA,19683,8,9773,10264,0,0,2015-10-25 00:00:00,2015/2016,1.3,5.25,11.5
EST,RA,19679,8,7842,7841,2,2,2015-10-24 00:00:00,2015/2016,2.25,3.25,3.5
GUI,ACA,19681,8,7844,10215,1,1,2015-10-24 00:00:00,2015/2016,1.75,3.5,5.4
MAR,FER,19684,8,10212,6403,0,2,2015-10-24 00:00:00,2015/2016,2,3.5,3.9
NAC,BOA,19682,8,10214,8613,0,0,2015-10-23 00:00:00,2015/2016,1.9,3.3,4.75
BRA,ARO,19669,7,10264,158085,0,0,2015-10-04 00:00:00,2015/2016,1.55,4,7
POR,BEL,19670,7,9773,9807,4,0,2015-10-04 00:00:00,2015/2016,1.15,7.5,26
SCP,GUI,19674,7,9768,7844,5,1,2015-10-04 00:00:00,2015/2016,1.25,5.75,13
ACA,MAR,19667,7,10215,10212,1,0,2015-10-03 00:00:00,2015/2016,3.8,3.2,2.15
FER,NAC,19668,7,6403,10214,3,1,2015-10-03 00:00:00,2015/2016,2.25,3.25,3.5
RA,BOA,19672,7,7841,8613,1,0,2015-10-03 00:00:00,2015/2016,2.05,3.2,4.1
TON,MOR,19675,7,188163,8348,1,1,2015-10-03 00:00:00,2015/2016,2.38,3.1,3.4
SET,EST,19673,7,10238,7842,1,0,2015-10-02 00:00:00,2015/2016,2.55,3.25,2.9
RA,ACA,19665,6,7841,10215,1,0,2015-09-28 00:00:00,2015/2016,1.62,3.7,6.5
ARO,BEL,19658,6,158085,9807,2,2,2015-09-27 00:00:00,2015/2016,2.4,3.1,3.3
EST,MAD,19661,6,7842,6367,2,1,2015-09-27 00:00:00,2015/2016,1.8,3.4,5.25
MAR,TON,19662,6,10212,188163,1,0,2015-09-27 00:00:00,2015/2016,1.75,3.6,5.25
NAC,SET,19664,6,10214,10238,1,1,2015-09-27 00:00:00,2015/2016,1.91,3.5,4.33
GUI,BRA,19666,6,7844,10264,0,1,2015-09-27 00:00:00,2015/2016,3.25,3.2,2.38
BEN,FER,19659,6,9772,6403,3,0,2015-09-26 00:00:00,2015/2016,1.25,6,13
BOA,SCP,19660,6,8613,9768,0,0,2015-09-26 00:00:00,2015/2016,10,4.8,1.36
MOR,POR,19663,6,8348,9773,2,2,2015-09-25 00:00:00,2015/2016,15,6,1.25
BEL,MOR,19650,5,9807,8348,2,0,2015-09-21 00:00:00,2015/2016,2.1,3.1,4
BRA,MAR,19651,5,10264,10212,5,1,2015-09-21 00:00:00,2015/2016,1.73,3.6,5.2
SCP,NAC,19657,5,9768,10214,1,0,2015-09-21 00:00:00,2015/2016,1.25,5.75,13
ACA,BOA,19649,5,10215,8613,0,2,2015-09-20 00:00:00,2015/2016,2.8,3,2.75
MAD,ARO,19653,5,6367,158085,0,0,2015-09-20 00:00:00,2015/2016,2.63,3.1,2.9
POR,BEN,19654,5,9773,9772,1,0,2015-09-20 00:00:00,2015/2016,1.95,3.3,4.2
FER,RA,19652,5,6403,7841,0,3,2015-09-19 00:00:00,2015/2016,2,3.3,4
